name,split,t_s,sonar_m,pred_m,residual_m,abs_residual_m,psnr_db,render_ms
f001635,train,65.4,2.824,2.7730646830760097,-0.050935316923990115,0.050935316923990115,36.85719299316406,8.544445037841797
f001640,train,65.6,2.869,2.832520576627988,-0.03647942337201204,0.03647942337201204,37.15314483642578,8.528947830200195
f001645,train,65.8,2.913,2.9959549277672717,0.08295492776727187,0.08295492776727187,38.03459930419922,9.265899658203125
f001650,train,66.0,2.913,2.9018525950286778,-0.01114740497132205,0.01114740497132205,37.61692810058594,9.267330169677734
f001655,train,66.2,2.949,2.9132100916366626,-0.035789908363337286,0.035789908363337286,37.66661834716797,8.657693862915039
f001660,train,66.4,2.925,2.942269839863869,0.01726983986386932,0.01726983986386932,38.69472122192383,9.045600891113281
f001665,train,66.6,2.903,2.9217116187210084,0.01871161872100835,0.01871161872100835,38.354949951171875,9.517192840576172
f001670,test,66.8,2.886,2.8695946368777294,-0.0164053631222707,0.0164053631222707,38.52330780029297,9.517431259155273
f001675,train,67.0,2.886,2.88969319753811,0.003693197538110038,0.003693197538110038,37.304969787597656,8.513689041137695
f001680,train,67.2,2.863,2.9152582109935445,0.05225821099354455,0.05225821099354455,38.40345764160156,9.037017822265625
f001685,train,67.4,2.821,2.870972678964511,0.04997267896451074,0.04997267896451074,37.55832290649414,8.527517318725586
f001690,train,67.6,2.8,2.820251273940315,0.02025127394031534,0.02025127394031534,37.317543029785156,9.50932502746582
f001695,train,67.8,2.766,2.7833215621118432,0.017321562111843214,0.017321562111843214,36.13862228393555,8.017778396606445
f001700,train,68.0,2.766,2.8132164019649184,0.047216401964918386,0.047216401964918386,36.437347412109375,8.049488067626953
f001705,train,68.2,2.746,2.763681409453064,0.017681409453063957,0.017681409453063957,37.266048431396484,10.523796081542969
f001710,test,68.4,2.722,2.7157674403184577,-0.006232559681542238,0.006232559681542238,36.93560028076172,10.033130645751953
f001715,train,68.6,2.712,2.7028039501037693,-0.009196049896230907,0.009196049896230907,36.19221115112305,9.144306182861328
f001720,train,68.8,2.69,2.662246740530384,-0.027753259469616154,0.027753259469616154,35.624481201171875,9.539365768432617
f001725,train,69.0,2.69,2.648453168613342,-0.041546831386658045,0.041546831386658045,36.10980224609375,9.020328521728516
f001730,train,69.2,2.648,2.6194623068344636,-0.02853769316553656,0.02853769316553656,36.932804107666016,8.513689041137695
f001735,train,69.4,2.632,2.6033482009694238,-0.028651799030576353,0.028651799030576353,37.56688690185547,8.510589599609375
f001740,train,69.6,2.596,2.5879220202270057,-0.008077979772994404,0.008077979772994404,36.959346771240234,7.670879364013672
f001745,train,69.8,2.56,2.5516393713324885,-0.008360628667511527,0.008360628667511527,36.605308532714844,8.118391036987305
f001750,test,70.0,2.56,2.5396700378152626,-0.020329962184737482,0.020329962184737482,36.699920654296875,8.82411003112793
f001755,train,70.2,2.539,2.5158090245952893,-0.023190975404710823,0.023190975404710823,36.91718673706055,8.525848388671875
f001760,train,70.4,2.474,2.471558405470749,-0.002441594529251301,0.002441594529251301,39.3422737121582,8.66246223449707
f001765,train,70.6,2.449,2.444653707155443,-0.004346292844557009,0.004346292844557009,39.988983154296875,8.40902328491211
f001770,train,70.8,2.416,2.425905320882293,0.009905320882293012,0.009905320882293012,40.29134750366211,8.455038070678711
f001775,train,71.0,2.416,2.4035472847167507,-0.012452715283249205,0.012452715283249205,39.55805206298828,8.896589279174805
f001780,train,71.2,2.384,2.378987856846796,-0.005012143153203752,0.005012143153203752,39.647056579589844,8.514642715454102
f001785,train,71.4,2.346,2.3536515777118328,0.007651577711832669,0.007651577711832669,39.21608352661133,8.507490158081055
f001790,test,71.6,2.313,2.341925695165403,0.028925695165402665,0.028925695165402665,39.01777267456055,8.603334426879883
f001795,train,71.8,2.398,2.3840254915010077,-0.0139745084989924,0.0139745084989924,38.906429290771484,8.502960205078125
f001800,train,72.0,2.398,2.3915156402758093,-0.0064843597241908135,0.0064843597241908135,38.247222900390625,7.990837097167969
f001805,train,72.2,2.261,2.3050625213836113,0.04406252138361122,0.04406252138361122,38.48781204223633,8.513450622558594
f001810,train,72.4,2.214,2.3186334648244658,0.10463346482446578,0.10463346482446578,38.137535095214844,8.521080017089844
f001815,train,72.6,2.265,2.3418951659439844,0.07689516594398427,0.07689516594398427,37.155181884765625,8.503198623657227
f001820,train,72.8,2.23,2.3073714698834813,0.07737146988348131,0.07737146988348131,37.853912353515625,8.059024810791016
f001825,train,73.0,2.23,2.3486847082272675,0.11868470822726751,0.11868470822726751,39.154476165771484,8.01539421081543
f001830,test,73.2,2.093,2.5464844731560095,0.4534844731560095,0.4534844731560095,39.660484313964844,8.50820541381836
f001835,train,73.4,2.172,2.173598214353287,0.0015982143532866644,0.0015982143532866644,39.824562072753906,8.691072463989258
f001840,train,73.6,2.021,2.056831300754091,0.03583130075409091,0.03583130075409091,40.15266799926758,9.509086608886719
f001845,train,73.8,1.977,2.009041640346695,0.03204164034669499,0.03204164034669499,39.89888000488281,8.506536483764648
f001850,train,74.0,1.977,1.978182859897356,0.0011828598973560034,0.0011828598973560034,40.12332534790039,8.306741714477539
f001855,train,74.2,1.95,1.9619669899609224,0.011966989960922492,0.011966989960922492,39.58544158935547,8.008241653442383
f001860,train,74.4,1.924,2.012573010184169,0.08857301018416885,0.08857301018416885,39.025634765625,8.519649505615234
f001865,train,74.6,1.91,2.0011001287752346,0.09110012877523466,0.09110012877523466,39.15373229980469,8.509635925292969
f001870,test,74.8,1.899,2.124403896640437,0.22540389664043703,0.22540389664043703,38.569732666015625,9.01341438293457
f001875,train,75.0,1.899,1.9258585924686533,0.026858592468653297,0.026858592468653297,38.71233367919922,8.505582809448242
f001880,train,75.2,1.909,1.9223359899973302,0.013335989997330211,0.013335989997330211,38.97285079956055,8.538961410522461
f001885,train,75.4,1.919,1.924131577897046,0.005131577897045991,0.005131577897045991,38.802860260009766,8.517980575561523
f001890,train,75.6,1.941,1.914105938143441,-0.02689406185655896,0.02689406185655896,38.28779602050781,8.509397506713867
f001895,train,75.8,1.964,1.926611959717187,-0.03738804028281306,0.03738804028281306,37.89767837524414,8.507728576660156
f001900,train,76.0,1.964,1.9328037555011137,-0.03119624449888625,0.03119624449888625,36.19150924682617,8.53109359741211
f001905,train,76.2,2.008,2.08032267555474,0.07232267555473992,0.07232267555473992,36.237579345703125,9.02867317199707
f001910,test,76.4,2.043,2.4923993741719745,0.4493993741719744,0.4493993741719744,34.731807708740234,9.511947631835938
f001915,train,76.6,2.053,2.0017716150863234,-0.05122838491367654,0.05122838491367654,36.22569274902344,8.510112762451172
f001920,train,76.8,2.089,2.1129452622014977,0.02394526220149773,0.02394526220149773,35.76595687866211,8.503913879394531
f001925,train,77.0,2.089,2.0560325310737047,-0.03296746892629532,0.03296746892629532,36.51469039916992,9.513139724731445
f001930,train,77.2,2.124,2.0767163134246545,-0.04728368657534565,0.04728368657534565,37.52492904663086,9.004592895507812
f001935,train,77.4,2.163,2.16140954012218,-0.0015904598778200274,0.0015904598778200274,21.81360626220703,9.552240371704102
f001940,train,77.6,2.199,2.1822464382605498,-0.016753561739450085,0.016753561739450085,36.81212615966797,9.518146514892578
f001945,train,77.8,2.227,2.216541243440472,-0.010458756559527771,0.010458756559527771,36.205020904541016,9.076595306396484
f001950,test,78.0,2.227,2.3235388061858653,0.09653880618586541,0.09653880618586541,34.66707229614258,9.019136428833008
